Unnamed: 0,City Code,City,Average share of the built-up area of cities that is open space for public use for all (%) [a],Average share of urban population with convenient access to open public spaces (%) [b],Month,Year,Decibel_Level,Traffic_Density,Green_Space_Area,Air_Quality_Index,Happiness_Score,Cost_of_Living_Index,Healthcare_Index,Absolute value in thousands,Urban population as percentage of total population,Economy
0,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,NOT APPLICABLE,NOT APPLICABLE,1
1,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,50330.837,29.58893,4
2,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2789.599,69.4836,8
3,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,49787.283,78.30825,12
4,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,41.142,87.80163,16
5,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,81.528,87.81252,20
6,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,44911.664,72.54636,24
7,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,16.055,100,660
8,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,97.51,24.7871,28
9,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,47678.56,93.24918,32
10,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,2759.528,65.54835,51
11,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,104.924,46.1523,533
12,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,28202.414,87.62312,36
13,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,9054.576,61.83148,40
14,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,10711.138,60.77914,31
15,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,429.846,84.72253,44
16,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,1574.679,90.82824,48
17,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,184424.144,45.63354,50
18,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,283.082,32.77197,52
19,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,9206.17,83.27537,112
20,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,11873.46,98.41559,56
21,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,450.428,48.58791,84
22,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,16393.827,54.13784,204
23,AM_YEREVAN,Yerevan,19.8,47.2,May,2030,60,Medium,40,85,5.8,50,68,62.806,100,60
